recall_state,2024_recalls,2025_recalls,recall_difference
California,198,321,123
Texas,40,126,86
New York,73,142,69
North Carolina,32,93,61
Indiana,8,68,60
Rhode Island,1,31,30
Washington,26,54,28
New Jersey,69,92,23
Pennsylvania,21,42,21
Idaho,12,33,21
Tennessee,23,44,21
UNKNOWN,17,37,20
Utah,8,23,15
Georgia,25,40,15
Minnesota,24,34,10
Michigan,13,20,7
Missouri,5,10,5
Iowa,38,42,4
Kentucky,2,6,4
Wyoming,0,4,4
Arkansas,9,12,3
New Hampshire,0,2,2
New Mexico,1,3,2
South Carolina,1,2,1
Maine,2,3,1
Delaware,0,1,1
District of Columbia,0,1,1
Colorado,14,15,1
Hawaii,5,5,0
Oklahoma,1,1,0
Mississippi,2,1,-1
West Virginia,1,0,-1
Vermont,2,1,-1
Nebraska,3,1,-2
Nevada,3,1,-2
South Dakota,3,0,-3
Massachusetts,12,9,-3
Alabama,7,3,-4
Virginia,14,10,-4
Puerto Rico,6,0,-6
Arizona,27,10,-17
Florida,59,41,-18
Connecticut,51,16,-35
Kansas,44,4,-40
Oregon,102,42,-60
Wisconsin,74,7,-67
Maryland,105,19,-86
Illinois,156,48,-108
Ohio,200,56,-144
