Year,Reason,Recalls
2025,Listeria Monocytogenes detected on food contact surfaces in Ready To Eat sandwich manufacturer facility.,86
2025,Salmonella. The firm received cucumbers which were recalled due to possible Salmonella. The cucumbers were used to make Sushi.,83
2024,Potential salmonella contamination,76
2024,Possible contamination with Listeria monocytogenes,72
2024,potential to be contaminated with Listeria monocytogenes,68
2024,potential Salmonella,65
2025,potential for contamination with listeria monocytogenes,60
2025,Product tested positive Salmonella .,54
2025,Potential contamination with Listeria monocytogenes.,49
2024,Product may be contaminated with Listeria monocytogenes.,41
